,x,y,z
0,10.0,10.0,10.0
1,10.0,11.7,10.733333333333334
2,10.17,13.309666666666667,11.617111111111113
3,10.483966666666667,14.8427098,12.660914581481483
4,10.91984098,16.302427304249008,13.879394940504044
5,11.4580996124249,17.681350649117313,15.289476879594696
6,12.080424716094143,18.96092154302248,16.907704266336836
7,12.768474398786976,20.111308762983956,18.74739200505036
8,13.502757835206674,21.091612558409377,20.81536886224496
9,14.261643307526944,21.8508197767092,23.108241726553818
10,15.02056095444517,22.329956695367443,25.608307923503872
11,15.751500528537397,22.465902694606505,28.27950446873931
12,16.42294074514431,22.19721751978968,31.06410113125457
13,17.000368422608847,21.47202983143455,33.88116098143363
14,17.447534563491416,20.25749049874977,36.627987534418416
15,17.728530157017254,18.54954448656089,39.18567385663261
16,17.810631589971617,16.380993478756576,41.42928414207835
17,17.667667778850113,13.825343220252954,43.24206163090154
18,17.283435322990396,10.994172976455157,44.5315556968509
19,16.654509088336873,8.027010509941247,45.244218320618195
20,15.791759230497311,5.074800497421825,45.3745650269683
21,14.720063357189762,2.2803030160425832,44.965976902230075
22,13.476087323075044,-0.23990256329228954,44.10254623353465
23,12.10448833443831,-2.4074967293290284,42.89414885505416
24,10.653289828061576,-4.186282272709645,41.45888972483243
25,9.169332617984454,-5.578233980008147,39.907342548637715
26,7.694575958185194,-6.614275484455444,38.33165991950433
27,6.26369081392113,-7.343110149858526,36.800541870415834
28,4.9030107175431645,-7.82091778107246,35.35924437129195
29,3.630617867681602,-8.10353314351637,34.03287075104128
30,2.457202766561805,-8.241528295502649,32.831119208791506
31,1.3873296603553593,-8.277823407401947,31.753111635273
32,0.4208143535796286,-8.247113204230317,30.791521292302996
33,-0.445978402201366,-8.176389194469255,29.93570902172222
34,-1.219019481428155,-8.085992458358218,29.173888377696887
35,-1.9057167791211613,-7.99082260576029,28.4944878442925
36,-2.5142273617850743,-7.90149084188329,27.886917282299148
37,-3.052953709794896,-7.825319090094342,27.341927599506743
38,-3.530190247824841,-7.767156544957394,26.851712899650888
39,-3.953886877538096,-7.730021698741375,26.409862625210238
40,-4.331500359658424,-7.715593714750602,26.01123593544868
41,-4.669909695167642,-7.724581100211894,25.651803946674256
42,-4.975376835672067,-7.756993924365577,25.32848680313949
43,-5.253538544541419,-7.812341833880442,25.039000167246478
44,-5.5094188734753216,-7.889775683059151,24.781717885594148
45,-5.747454554433705,-7.988186568441316,24.555552865868965
46,-5.971527755834466,-8.106272736442579,24.359855515523666
47,-6.185002253895277,-8.242582247321135,24.194327694863347
48,-6.390760253237863,-8.395537342696494,24.05894952077631
49,-6.591237962183726,-8.563445056855798,23.953916197098398
50,-6.788458671650933,-8.744497617885857,23.879582139967333
51,-6.984062566274426,-8.93676550523464,23.83640988973522
52,-7.179332860170447,-9.1381855884864,23.824921586962432
53,-7.3752181330020425,-9.346546509046624,23.845651105421
54,-7.5723509706065,-9.559473336937318,23.89909526888778
55,-7.771063207239582,-9.77441350277797,23.98566293373188
56,-7.97139823679342,-9.988626038521533,24.105621106936866
57,-8.173121016966231,-10.199176228552007,24.25903770399981
58,-8.375726538124809,-10.402937841917662,24.445721047786357
59,-8.578447668504094,-10.596605148938028,24.665156778748848
60,-8.780263416547488,-10.776716878010335,24.916443491988538
61,-8.979908762693773,-10.939694093231731,25.198229128413683
62,-9.175887295747568,-11.081893620307595,25.508650900145994
63,-9.36648792820357,-11.199678069650744,25.8452822783095
64,-9.549806942348287,-11.28950266424324,26.205091245279412
65,-9.723776514537782,-11.348017958467933,26.584414521258456
66,-9.886200658930797,-11.372186147208332,26.978952705802598
67,-10.03479920775855,-11.359407070063188,27.383791108801343
68,-10.167259993989013,-11.307648324294696,27.793450369906076
69,-10.281298827019581,-11.215572278960021,28.20196969771223
70,-10.374726172213625,-11.0826514480086,28.603023673600152
71,-10.445518699793123,-10.909262878638874,28.99007111598924
72,-10.491893117677698,-10.696752186290578,29.35653164689401
73,-10.512379024538985,-10.44745881392808,29.695982609425297
74,-10.505887003477895,-10.164696105695745,30.002366208793347
75,-10.47176791369968,-9.852682813347133,30.270194597003503
76,-10.409859403664425,-9.516426475826105,30.494739485236764
77,-10.320516110880593,-9.161563338166996,30.672193048683713
78,-10.204620833609233,-8.794163590682093,30.79978852104287
79,-10.063575109316519,-8.420514152059932,30.875871877064817
80,-9.89926901359086,-8.046893484143203,30.8999200599596
